post_uri,reply_uri,reply_author,reply_text,reply_createdAt
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:tw2bppceajbwpyiiovv3bkj5/app.bsky.feed.post/3lga5qsklas2k,did:plc:tw2bppceajbwpyiiovv3bkj5,He said it today…. Loves that Gaza property!,2025-01-21T05:48:35.448Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:thtbsnjc6xoli6rb2tmhvyd5/app.bsky.feed.post/3lg7zypsdu22d,did:plc:thtbsnjc6xoli6rb2tmhvyd5,I’ve been saying all along. The goal is to level Gaza. THEY WANT THE PROPERTY.,2025-01-21T04:41:26.019Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:qy6puke4s6rvm7jkaslyhb7o/app.bsky.feed.post/3lg7z6ek5pk23,did:plc:qy6puke4s6rvm7jkaslyhb7o,Oh I know. And I live in Dearborn/Dearborn Heights and saw all the trump signs too. They were completely fooled. Fucking idiots.,2025-01-21T04:26:41.807Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:nyju5tonwrw6tlsqes2je5au/app.bsky.feed.post/3lga6hjwkck2i,did:plc:nyju5tonwrw6tlsqes2je5au,"As soon as Israel struck Gaza, I told my husband that we were screwed. When the Palestinian protests started, I knew it was guaranteed. Non-vote protests.",2025-01-21T06:01:18.063Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:elxxbctagjwztau22ykugnzm/app.bsky.feed.post/3lgapvfkpnc2g,did:plc:elxxbctagjwztau22ykugnzm,Trump hotels.,2025-01-21T11:13:16.945Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:7elzfw2v7quyjd2bg4vdowuo/app.bsky.feed.post/3lg7zmxmjvc2c,did:plc:7elzfw2v7quyjd2bg4vdowuo,"Listen, Jill Stein is a Russian stooge who f’ing sucks, but she’s not some mind bender who hypnotized people. Every last person in this country knows damn well who Trump is and what he’s capable of.
And they voted accordingly.",2025-01-21T04:34:51.570Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:7adkd6iuop2ydm5l6mmja5h2/app.bsky.feed.post/3lgai7co7x22m,did:plc:7adkd6iuop2ydm5l6mmja5h2,Ffs they literally named an illegal settlement after Trump.,2025-01-21T08:55:39.524Z
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,at://did:plc:4s6u6btlvj276owkvss32fyz/app.bsky.feed.post/3lga6ppsdms2l,did:plc:4s6u6btlvj276owkvss32fyz,,2025-01-21T06:05:52.737Z
at://did:plc:2fsy55qurgl3bieyrkzzlzrs/app.bsky.feed.post/3lg7xnfcozs2i,at://did:plc:z5suau4mw3hms72ybitw4sa6/app.bsky.feed.post/3lga4btycgs2m,did:plc:z5suau4mw3hms72ybitw4sa6,"And for bonus points, the price of eggs is about to skyrocket.",2025-01-21T05:22:19.887Z
at://did:plc:pxtnuuof3svavnejy47oiixm/app.bsky.feed.post/3lg7xkhxbes27,at://did:plc:y77izru2kb4rv4y3hdutomul/app.bsky.feed.post/3lga35puytc2o,did:plc:y77izru2kb4rv4y3hdutomul,"""Their country"" will be turned into ""Another luxury development by Trump/Kushner"" which will have no place for Palestinians.",2025-01-21T05:02:07.626Z
